funcao,melhor_caso,media_dos_casos,pior_caso
Shell,0.000000384000000,0.000002112961600,0.000013915000000
ShellSort,0.000005449000000,0.000006801400800,0.000072242000000
Bubble,0.000000311000000,0.000006154436800,0.000014152000000
QuickSort,0.000000812000000,0.000001657656000,0.000016950000000
SelectionSort,0.000003330000000,0.000004362426400,0.000014686000000
MergeSort,0.000001804000000,0.000002619826800,0.000016523000000
